"TIME","GEO","SPECIES","SPECIES_LABEL","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","Belgium","MAC","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast","Tonnes live weight","43.6",""
"2012","Belgium","MAC","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","MAC","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","MAC","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","MAC","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","PIL","European pilchard(=Sardine) - Sardina pilchardus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","PIL","European pilchard(=Sardine) - Sardina pilchardus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","PIL","European pilchard(=Sardine) - Sardina pilchardus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","PIL","European pilchard(=Sardine) - Sardina pilchardus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","PIL","European pilchard(=Sardine) - Sardina pilchardus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","PLE","European plaice - Pleuronectes platessa","Atlantic, Northeast","Tonnes live weight","6 687.2",""
"2012","Belgium","PLE","European plaice - Pleuronectes platessa","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","PLE","European plaice - Pleuronectes platessa","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","PLE","European plaice - Pleuronectes platessa","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","PLE","European plaice - Pleuronectes platessa","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","SKJ","Skipjack tuna - Katsuwonus pelamis","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","SKJ","Skipjack tuna - Katsuwonus pelamis","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","SKJ","Skipjack tuna - Katsuwonus pelamis","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","SKJ","Skipjack tuna - Katsuwonus pelamis","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","SKJ","Skipjack tuna - Katsuwonus pelamis","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","1",""
"2012","Belgium","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
