"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2008","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","3 972",""
"2008","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","203 464.1",""
"2008","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight","53",""
"2008","Germany (until 1990 former territory of the FRG)","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight","53",""
"2008","Germany (until 1990 former territory of the FRG)","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","61 455.8",""
"2008","Germany (until 1990 former territory of the FRG)","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight","2 444",""
"2008","Germany (until 1990 former territory of the FRG)","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight","59 011.8",""
"2008","Germany (until 1990 former territory of the FRG)","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","77 676.1",""
"2008","Germany (until 1990 former territory of the FRG)","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight","77 676.1",""
"2008","Germany (until 1990 former territory of the FRG)","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","30 973.2",""
"2008","Germany (until 1990 former territory of the FRG)","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","30 973.2",""
